source,target,value
Basram,Lan,17
Lan,Jaim,21
Lan,Bukama,457
Lan,Rakim,8
Lan,Emares,34
Lan,Caniedrin,22
Lan,Three,19
Lan,Siuan,44
Lan,Pedron,9
Lan,Sierin,1
Lan,Varan,10
Lan,Alin,6
Lan,Ryne,238
Lan,Lira,16
Lan,Edeyn,49
Lan,Ceiline,5
Lan,Moiraine,62
Lan,Avene,1
Lan,Coy,4
Lan,Jurad,13
Lan,Bulen,10
Lan,Anya,17
Lan,Ethenielle,11
Lan,Diryk,51
Lan,Brys,32
Lan,Iselle,14
Lan,Lady,12
Lan,Merean,37
Lan,Mother,6
Lan,Josef,3
Lan,Two,5
Lan,Tamra,1
Bukama,Emares,5
Bukama,Rakim,6
Bukama,Caniedrin,18
Bukama,Three,7
Bukama,Two,1
Bukama,Nazar,11
Bukama,Varan,5
Bukama,Racelle,13
Bukama,Ryne,191
Bukama,Lira,7
Bukama,Edeyn,52
Bukama,Lady,11
Bukama,Moiraine,9
Bukama,Iselle,7
Bukama,Merean,15
Bukama,Diryk,5
Rakim,Emares,2
Emares,Moiraine,3
Caniedrin,Moiraine,5
Three,Siuan,5
Three,Moiraine,14
Three,Two,1
Three,Sierin,5
Three,Tamore,5
Three,Cadsuane,4
Three,Ethenielle,2
Three,Arrow,1
Moiraine,Siuan,1806
Moiraine,Azil,3
Moiraine,Gitara,95
Moiraine,Tamra,109
Moiraine,Mother,15
Moiraine,Elin,81
Moiraine,Akarrin,11
Moiraine,Myrelle,62
Moiraine,Tarna,18
Moiraine,Brendas,1
Moiraine,Zemaille,4
Moiraine,Aisling,4
Moiraine,Verin,20
Moiraine,Alanna,5
Moiraine,Atuan,4
Moiraine,Meidani,5
Moiraine,Arrow,38
Moiraine,Steler,60
Moiraine,Sarene,5
Moiraine,Lady,8
Moiraine,Sedrin,10
Moiraine,Careme,7
Moiraine,Susa,34
Moiraine,Cyril,5
Moiraine,Jac,3
Moiraine,Danil,10
Moiraine,Two,9
Moiraine,Meilyn,71
Moiraine,Elaida,155
Moiraine,Andro,6
Moiraine,Katerine,4
Moiraine,Merean,216
Moiraine,Laman,31
Moiraine,Aldecain,5
Moiraine,Setsuko,11
Moiraine,Sheriam,30
Moiraine,Lisandre,5
Moiraine,Laras,3
Moiraine,Salia,2
Moiraine,Martan,11
Moiraine,Willa,4
Moiraine,Jarna,61
Moiraine,Tsutama,17
Moiraine,Kerene,35
Moiraine,Elyas,2
Moiraine,Jala,12
Moiraine,Stepin,3
Moiraine,Ellid,48
Moiraine,Aeldra,45
Moiraine,Ludice,4
Moiraine,Anaiya,40
Moiraine,Leane,17
Moiraine,Rafela,62
Moiraine,Anlee,4
Moiraine,Lelaine,13
Moiraine,Cabriana,6
Moiraine,Eadyth,30
Moiraine,Kairen,15
Moiraine,Cetalia,84
Moiraine,Artur,10
Moiraine,Ries,2
Moiraine,Ilain,5
Moiraine,Tamore,52
Moiraine,Natasia,8
Moiraine,Valera,6
Moiraine,Ryma,9
Moiraine,Sierin,40
Moiraine,Edeyn,8
Moiraine,Jerid,6
Moiraine,Jurine,6
Moiraine,Josef,3
Moiraine,Felaana,13
Moiraine,Larelle,65
Moiraine,Cadsuane,151
Moiraine,Aisha,1
Moiraine,Avene,15
Moiraine,Ryne,3
Moiraine,Ailene,8
Moiraine,Mistress,4
Moiraine,Ines,6
Moiraine,Kamile,9
Moiraine,Silene,30
Moiraine,Aiko,6
Moiraine,Cal,23
Moiraine,Antol,4
Moiraine,Diryk,35
Moiraine,Elis,29
Moiraine,Iselle,53
Moiraine,Cormanes,14
Moiraine,Rahien,9
Siuan,Temaile,6
Siuan,Tamra,61
Siuan,Mother,12
Siuan,Gitara,34
Siuan,Elin,14
Siuan,Elaida,133
Siuan,Myrelle,144
Siuan,Tarna,42
Siuan,Zemaille,11
Siuan,Brendas,5
Siuan,Katerine,13
Siuan,Steler,110
Siuan,Arrow,27
Siuan,Sarene,11
Siuan,Two,2
Siuan,Half,4
Siuan,Susa,10
Siuan,Danil,7
Siuan,Meilyn,32
Siuan,Andro,11
Siuan,Merean,92
Siuan,Verin,12
Siuan,Setsuko,12
Siuan,Lisandre,2
Siuan,Sheriam,51
Siuan,Ryma,1
Siuan,Laras,16
Siuan,Bili,3
Siuan,Jarna,11
Siuan,Innloine,5
Siuan,Kerene,3
Siuan,Ellid,17
Siuan,Ludice,4
Siuan,Valera,6
Siuan,Jeaine,9
Siuan,Aeldra,25
Siuan,Rafela,44
Siuan,Eadyth,54
Siuan,Cabriana,10
Siuan,Anaiya,15
Siuan,Natasia,5
Siuan,Cetalia,105
Siuan,Carewin,5
Siuan,Tamore,73
Siuan,Lelaine,10
Siuan,Leane,17
Siuan,Adine,6
Siuan,Sierin,26
Siuan,Kairen,4
Siuan,Cadsuane,34
Siuan,Chesmal,2
Siuan,Avene,12
Siuan,Ryne,8
Siuan,Ailene,6
Siuan,Mistress,4
Siuan,Ines,13
Siuan,Silene,12
Siuan,Laman,2
Siuan,Aiko,1
Siuan,Ethenielle,4
Siuan,Jarene,5
Siuan,Iselle,10
Siuan,Cal,11
Siuan,Rahien,6
Siuan,Brys,8
Siuan,Diryk,9
Siuan,Josef,2
Gitara,Tamra,21
Gitara,Brendas,9
Gitara,Elin,12
Gitara,Mother,5
Gitara,Tarna,2
Gitara,Myrelle,11
Gitara,Zemaille,3
Gitara,Aisling,9
Gitara,Aeldra,18
Gitara,Kerene,3
Gitara,Adelorna,6
Gitara,Anlee,6
Gitara,Lelaine,6
Gitara,Tamore,1
Gitara,Migel,6
Gitara,Ryne,3
Tamra,Tarna,6
Tamra,Meilyn,14
Tamra,Martan,3
Tamra,Aeldra,14
Tamra,Verin,1
Tamra,Kairen,3
Tamra,Cabriana,3
Tamra,Anaiya,10
Tamra,Sheriam,12
Tamra,Merean,9
Tamra,Tamore,5
Tamra,Sierin,11
Tamra,Duhara,5
Tamra,Kerene,5
Tamra,Cadsuane,9
Tamra,Elis,3
Tamra,Brys,4
Temaile,Brendas,6
Temaile,Edesina,5
Temaile,Desandre,6
Brendas,Meidani,12
Elaida,Meilyn,30
Elaida,Andro,5
Elaida,Myrelle,5
Elaida,Merean,35
Elaida,Sheriam,4
Elaida,Ellid,10
Elaida,Yuan,3
Elaida,Anaiya,4
Myrelle,Tarna,20
Myrelle,Sheriam,18
Myrelle,Ellid,5
Myrelle,Verin,5
Zemaille,Aisling,6
Aisling,Verin,6
Verin,Anaiya,17
Verin,Rafela,7
Alanna,Carlinya,5
Alanna,Pritalle,6
Katerine,Carlinya,6
Pritalle,Edesina,4
Desandre,Atuan,6
Arrow,Merean,9
Arrow,Steler,5
Arrow,Eadyth,5
Arrow,Tamore,3
Arrow,Kazin,8
Arrow,Cadsuane,3
Merean,Steler,5
Merean,Laman,6
Merean,Setsuko,6
Merean,Sheriam,3
Merean,Aisha,4
Merean,Ellid,4
Merean,Larelle,45
Merean,Felaana,5
Merean,Cadsuane,38
Merean,Ryne,16
Merean,Iselle,50
Merean,Brys,2
Merean,Diryk,17
Steler,Two,5
Steler,Susa,5
Steler,Malvin,3
Sarene,Ellid,11
Ellid,Willa,4
Ellid,Bili,7
Ellid,Ellisar,4
Ellid,Adelorna,15
Ellid,Sheriam,18
Ellid,Kairen,5
Two,Rina,5
Two,Kerene,7
Two,Avene,4
Two,Iselle,10
Two,Ethenielle,6
Two,Edeyn,3
Lady,Katrine,2
Lady,Carney,2
Lady,Jurine,6
Lady,Josef,12
Lady,Jerid,10
Lady,Kazin,4
Lady,Ryne,12
Lady,Edeyn,2
Lady,Avene,4
Lady,Diryk,6
Lady,Brys,6
Katrine,Sedrin,2
Sedrin,Half,6
Half,Tamore,3
Susa,Cyril,4
Susa,Jac,7
Jac,Aldecain,4
Meilyn,Andro,8
Meilyn,Jarna,5
Meilyn,Valera,6
Meilyn,Kerene,42
Meilyn,Willim,6
Meilyn,Shivena,4
Meilyn,Rafela,6
Meilyn,Cadsuane,12
Meilyn,Ludice,6
Meilyn,Aisha,5
Meilyn,Chesmal,4
Laman,Jarna,5
Laman,Tamore,3
Laman,Sierin,2
Setsuko,Sheriam,6
Sheriam,Kairen,6
Sheriam,Eadyth,5
Ryma,Serafelle,6
Bili,Ellisar,5
Jarna,Taringail,6
Jarna,Innloine,3
Tsutama,Eadyth,3
Kerene,Karile,9
Kerene,Stepin,6
Kerene,Aisha,28
Kerene,Aeldra,6
Kerene,Willim,6
Kerene,Cadsuane,5
Kerene,Valera,6
Rina,Waylin,6
Waylin,Elyas,5
Karile,Stepin,9
Aisha,Shivena,6
