source,target,value
Abell,Azi,6
Abell,Dannil,5
Abell,Trom,6
Agelmar,Baldhere,34
Agelmar,Ethenielle,6
Alivia,Talaan,11
Alsalam,Rodel,1
Alsalam,Rodrivar,5
Aludra,Allin,6
Aludra,Birgitte,9
Aludra,Demandred,10
Aludra,Egwene,5
Aludra,Jur,2
Aludra,Ladwin,3
Aludra,Tam,4
Aludra,Tuon,2
Alviarin,Ayako,3
Alviarin,Donalo,16
Alviarin,Kash,6
Alviarin,Rianna,9
Amys,Alivia,9
Amys,Cadsuane,23
Amys,Egwene,51
Amys,Elenar,6
Amys,Graendal,16
Amys,Hayde,4
Amys,Rhuarc,5
Amys,Rodel,6
Amys,Sashalle,5
Amys,Talaan,6
Andere,Agelmar,3
Andere,Baldhere,11
Andere,Benish,6
Andere,Bulen,5
Andere,Deepe,5
Andere,Jophil,5
Andere,Kragil,1
Andere,Mandarb,41
Andere,Ragon,6
Androl,Atal,4
Androl,Coteren,4
Androl,Demandred,1
Androl,Dobser,6
Androl,Galad,2
Androl,Hessalam,4
Androl,Logain,17
Androl,Lyrelle,10
Androl,Mezar,6
Androl,Toveine,2
Androl,Welyn,9
Aravine,Aldin,4
Aravine,Bela,47
Aravine,Berisha,19
Aravine,Lifa,14
Arel,Karldin,6
Arrela,Selande,6
Aviendha,Alivia,14
Aviendha,Amys,71
Aviendha,Bera,18
Aviendha,Berelain,3
Aviendha,Birgitte,10
Aviendha,Cadsuane,214
Aviendha,Darlin,47
Aviendha,Dyelin,9
Aviendha,Egwene,18
Aviendha,Elenar,3
Aviendha,Faeldrin,5
Aviendha,Gawyn,5
Aviendha,Graendal,150
Aviendha,Han,5
Aviendha,Kiruna,1
Aviendha,Kymer,36
Aviendha,Lini,5
Aviendha,Lir,4
Aviendha,Loial,9
Aviendha,Melaine,13
Aviendha,Min,13
Aviendha,Moghedien,3
Aviendha,Moiraine,23
Aviendha,Mora,2
Aviendha,Nakomi,7
Aviendha,Perrin,4
Aviendha,Pevara,4
Aviendha,Rand,213
Aviendha,Rhuarc,45
Aviendha,Rodel,2
Aviendha,Sarene,22
Aviendha,Sashalle,4
Aviendha,Shaen,3
Aviendha,Shanni,5
Aviendha,Sorilea,91
Aviendha,Soro,3
Aviendha,Tam,3
Bael,Jheran,6
Bakh,Ragon,4
Bao,Leane,2
Barrin,Daruo,6
Bayle,Egwene,10
Bayle,Nynaeve,21
Bela,Noal,1
Bela,Silvic,3
Berelain,Alliandre,6
Berelain,Annoura,49
Berelain,Faile,4
Berelain,Haral,5
Berelain,Janina,7
Berelain,Kitan,8
Berelain,Masuri,3
Berelain,Rosil,8
Berelain,Thom,1
Beslan,Selucia,14
Birgitte,Faile,9
Birgitte,Galad,5
Birgitte,Lini,5
Birgitte,Loial,6
Birgitte,Ludin,1
Birgitte,Min,9
Birgitte,Moonshadow,1
Birgitte,Nichil,6
Birgitte,Selucia,4
Birgitte,Tam,5
Birgitte,Theodohr,10
Birgitte,Tuon,6
Bulen,Bakh,3
Cadsuane,Alivia,28
Cadsuane,Deepe,2
Cadsuane,Jeaine,2
Cadsuane,Lyrelle,3
Cadsuane,Rodel,5
Cadsuane,Rubinde,4
Cadsuane,Sarene,6
Cadsuane,Talaan,11
Cadsuane,Yukiri,4
Canler,Androl,11
Canler,Coteren,1
Canler,Desartin,5
Canler,Frask,2
Canler,Leish,5
Canler,Logain,15
Canler,Mezar,5
Canler,Slayer,2
Canler,Theodrin,10
Canler,Welyn,7
Catrona,Classen,3
Cenn,Tuon,4
Coteren,Dobser,3
Creator,Aravine,6
Damer,Bela,1
Dannil,Jori,6
Darlin,Alsalam,8
Darlin,Berelain,5
Darlin,Gregorin,39
Darlin,Paitar,5
Darlin,Rhuarc,10
Darlin,Rodel,5
Darlin,Tenobia,5
Davram,Agelmar,9
Davram,Jori,2
Deepe,Antail,21
Demandred,Alviarin,7
Demandred,Annoura,11
Demandred,Aravine,3
Demandred,Berelain,8
Demandred,Birgitte,9
Demandred,Cyndane,5
Demandred,Doesine,3
Demandred,Donalo,4
Demandred,Egwene,56
Demandred,Galad,127
Demandred,Galbrait,2
Demandred,Gaul,3
Demandred,Gawyn,100
Demandred,Ilyena,7
Demandred,Kash,5
Demandred,Leane,6
Demandred,M'Hael,10
Demandred,Mandarb,6
Demandred,Mora,6
Demandred,Sammael,6
Demandred,Silviana,5
Demandred,Tam,4
Dennel,Aludra,16
Dennel,Jak,4
Dhana,Sulaan,6
Donalo,Ayako,6
Dyelin,Gareth,5
Egwene,Adelorna,65
Egwene,Agelmar,14
Egwene,Alsalam,5
Egwene,Bao,27
Egwene,Berelain,5
Egwene,Birgitte,21
Egwene,Cadsuane,4
Egwene,Daishar,6
Egwene,Darlin,36
Egwene,Davram,3
Egwene,Elaida,6
Egwene,Elyas,8
Egwene,Eyal,6
Egwene,Faiselle,5
Egwene,Gabrelle,5
Egwene,Galad,22
Egwene,Gareth,30
Egwene,Gawyn,474
Egwene,Gelen,5
Egwene,Gregorin,17
Egwene,Jahar,9
Egwene,Jer,11
Egwene,Joni,6
Egwene,Kiem,5
Egwene,Leane,16
Egwene,Lelaine,4
Egwene,Manda,3
Egwene,Min,21
Egwene,Mora,12
Egwene,Morgase,8
Egwene,Myrelle,1
Egwene,Pylar,1
Egwene,Raemassa,5
Egwene,Renna,5
Egwene,Romanda,56
Egwene,Rosil,18
Egwene,Saerin,44
Egwene,Selene,6
Egwene,Sheriam,5
Egwene,Silviana,338
Egwene,Siuan,205
Egwene,Somara,6
Egwene,Tam,6
Egwene,Tenobia,2
Egwene,Tinna,7
Egwene,Tuon,28
Egwene,Urien,5
Egwene,Yukiri,66
Elaida,Cadsuane,14
Elayne,Abell,4
Elayne,Agelmar,40
Elayne,Alliandre,15
Elayne,Aludra,51
Elayne,Amys,7
Elayne,Andere,2
Elayne,Androl,13
Elayne,Antol,2
Elayne,Aviendha,222
Elayne,Bayle,10
Elayne,Berelain,7
Elayne,Birgitte,711
Elayne,Cadsuane,4
Elayne,Courtani,4
Elayne,Dara,4
Elayne,Darlin,5
Elayne,Davram,4
Elayne,Demandred,87
Elayne,Dyelin,10
Elayne,Egwene,386
Elayne,Elyas,4
Elayne,Estean,13
Elayne,Faile,12
Elayne,Galad,153
Elayne,Gareth,30
Elayne,Gaul,2
Elayne,Gawyn,52
Elayne,Graendal,3
Elayne,Gregorin,5
Elayne,Halan,3
Elayne,Half,6
Elayne,Haman,17
Elayne,Jarid,27
Elayne,Jesamyn,5
Elayne,Jur,4
Elayne,Kin,12
Elayne,Laman,8
Elayne,Lan,84
Elayne,Leilwin,4
Elayne,Lir,15
Elayne,Logain,27
Elayne,Loial,24
Elayne,Mat,86
Elayne,Melfane,4
Elayne,Mika,2
Elayne,Min,48
Elayne,Moiraine,15
Elayne,Moonshadow,41
Elayne,Mora,14
Elayne,Morel,4
Elayne,Noal,2
Elayne,Nynaeve,41
Elayne,Perrin,11
Elayne,Pevara,11
Elayne,Pips,11
Elayne,Rand,321
Elayne,Rhuarc,26
Elayne,Rodel,4
Elayne,Roedran,12
Elayne,Saerin,18
Elayne,Sana,5
Elayne,Silviana,18
Elayne,Siuan,29
Elayne,Sleete,6
Elayne,Smoke,4
Elayne,Sorilea,5
Elayne,Stayer,6
Elayne,Sumeko,11
Elayne,Talmanes,72
Elayne,Tam,83
Elayne,Tenobia,5
Elayne,Theodohr,11
Elayne,Tinna,3
Elayne,Tuon,12
Elayne,Tylin,3
Elayne,Welyn,4
Emarin,Androl,8
Emarin,Canler,71
Emarin,Coteren,15
Emarin,Desartin,5
Emarin,Dobser,138
Emarin,Jesamyn,3
Emarin,Jonneth,95
Emarin,Kash,6
Emarin,Leems,5
Emarin,Logain,40
Emarin,Mezar,1
Emarin,Rianna,5
Emarin,Theodrin,4
Emarin,Welyn,5
Enaila,Leiran,6
Ethenielle,Baldhere,10
Evin,Androl,21
Evin,Canler,6
Evin,Coteren,2
Evin,Dobser,6
Evin,Emarin,14
Evin,Jonneth,6
Evin,Leish,6
Evin,Logain,9
Evin,Mezar,6
Evin,Pevara,12
Evin,Welyn,9
Faile,Aldin,4
Faile,Aravine,110
Faile,Arrela,30
Faile,Bela,79
Faile,Berisha,41
Faile,Creator,5
Faile,Gareth,6
Faile,Gaul,4
Faile,Harnan,32
Faile,Janina,3
Faile,Laras,20
Faile,Mandevwin,58
Faile,Selande,3
Faile,Setalle,55
Faiselle,Doesine,2
Faiselle,Ferane,7
Frask,Henre,6
Furyk,Musenge,6
Gabrelle,Arel,6
Gabrelle,Desautel,6
Gabrelle,Karldin,4
Galad,Alhanra,21
Galad,Alix,4
Galad,Bael,3
Galad,Berelain,26
Galad,Brokel,5
Galad,Dawn,4
Galad,Hammar,2
Galad,Kline,5
Galad,Laird,7
Galad,Mallone,3
Galad,Mika,8
Galad,Sidama,13
Galad,Slayer,3
Galad,Taringail,5
Galad,Tigraine,9
Galad,Trom,35
Galad,Tuon,13
Gareth,Beldeine,4
Gareth,Tuon,3
Gareth,Tylee,5
Gareth,Yukiri,4
Gaul,Chiad,9
Gaul,Dain,2
Gaul,Edarra,11
Gaul,Hopper,5
Gaul,Janina,4
Gaul,Mandarb,4
Gaul,Padan,3
Gaul,Rodel,5
Gaul,Slayer,120
Gawyn,Adelorna,5
Gawyn,Alhanra,10
Gawyn,Faile,6
Gawyn,Galad,88
Gawyn,Gareth,1
Gawyn,Min,1
Gawyn,Saerin,9
Gawyn,Serinia,4
Gawyn,Silviana,30
Gawyn,Siuan,26
Gawyn,Tigraine,4
Gawyn,Yukiri,4
Graendal,Cadsuane,31
Graendal,Egwene,5
Graendal,Gabrelle,1
Graendal,Gaul,21
Graendal,Rodel,6
Graendal,Sarene,6
Graendal,Slayer,10
Graendal,Talaan,5
Gregorin,Berelain,1
Gregorin,Galad,4
Gregorin,Mattin,6
Gregorin,Tenobia,4
Half,Allin,1
Haman,Havien,4
Haman,Morel,6
Harnan,Aravine,8
Harnan,Bela,11
Harnan,Berisha,4
Harnan,Setalle,7
Harnan,Silvic,6
Hayde,Shanni,6
Holcom,Joni,5
Hopper,Slayer,5
Ila,Aram,2
Ila,Raen,32
Isam,Luc,23
Isam,Moridin,56
Ishamael,Cyndane,2
Ishamael,Egwene,1
Jarid,Eri,18
Jarid,Morear,6
Jarid,Rosse,7
Jesamyn,Serinia,3
Jonneth,Androl,12
Jonneth,Canler,15
Jonneth,Donalo,2
Jonneth,Kash,5
Jonneth,Logain,30
Jonneth,Naeff,2
Jonneth,Theodrin,10
Jonneth,Welyn,26
Jori,Enaila,5
Juilin,Amathera,4
Juilin,Charn,21
Juilin,Myk,5
Jur,Delarn,3
Kalyan,Ethenielle,10
Karldin,Beldeine,4
Karldin,Leiran,5
Kash,Donalo,5
Kathana,Jame,14
Kathana,Mandevwin,7
Kert,Reed,6
Kiruna,Faeldrin,6
Kitan,Annoura,3
Kline,Alix,6
Kymer,Amys,8
Kymer,Han,5
Kymer,Rand,1
Ladwin,Mar,6
Laman,Alivia,8
